"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"tyrP","","Tyrosine-specific transport protein","2","2","1","87","467","","","","1211","1211","1211","PHNCKJFH_02501","JLKMCBGM_01923"
"zraR","","Transcriptional regulatory protein ZraR","2","2","1","70","5","","","","1325","1325","1325","PHNCKJFH_03324","JLKMCBGM_01105"
"crcB_2","","Putative fluoride ion transporter CrcB","2","2","1","84","66","","","","383","383","383","PHNCKJFH_01616","JLKMCBGM_04162"
"dcd","","dCTP deaminase","2","2","1","85","56","","","","581","581","581","PHNCKJFH_02590","JLKMCBGM_00719"
"smpB","","SsrA-binding protein","2","2","1","86","457","","","","482","482","482","PHNCKJFH_04185","JLKMCBGM_03235"
"napB","","Periplasmic nitrate reductase, electron transfer subunit","2","2","1","85","209","","","","449","449","449","PHNCKJFH_03149","JLKMCBGM_00853"
"aldA","","Lactaldehyde dehydrogenase","2","2","1","87","88","","","","1439","1439","1439","PHNCKJFH_03444","JLKMCBGM_04216"
"potA_3","","Spermidine/putrescine import ATP-binding protein PotA","2","2","1","87","324","","","","1136","1136","1136","PHNCKJFH_03698","JLKMCBGM_04083"
"paoD","","Molybdenum cofactor insertion chaperone PaoD","2","2","1","82","120","","","","956","956","956","PHNCKJFH_03935","JLKMCBGM_04855"
"ydhC_1","","Inner membrane transport protein YdhC","2","2","1","87","712","","","","1211","1211","1211","PHNCKJFH_02026","JLKMCBGM_01678"
"hybC","","Hydrogenase-2 large chain","2","2","1","86","295","","","","1703","1703","1703","PHNCKJFH_00270","JLKMCBGM_04736"
"murJ","","Lipid II flippase MurJ","2","2","1","87","899","","","","1535","1535","1535","PHNCKJFH_03642","JLKMCBGM_02065"
"pdxB","","Erythronate-4-phosphate dehydrogenase","2","2","1","85","323","","","","1136","1136","1136","PHNCKJFH_03041","JLKMCBGM_00974"
"rlmA","","23S rRNA (guanine(745)-N(1))-methyltransferase","2","2","1","87","551","","","","809","809","809","PHNCKJFH_02399","JLKMCBGM_01840"
"yjiG","","Inner membrane protein YjiG","2","2","1","83","144","","","","461","461","461","PHNCKJFH_01841","JLKMCBGM_04568"
"udp","","Uridine phosphorylase","2","2","1","77","18","","","","761","761","761","PHNCKJFH_02775","JLKMCBGM_03047"
"setB","","Sugar efflux transporter B","2","2","1","85","178","","","","1181","1181","1181","PHNCKJFH_03181","JLKMCBGM_00821"
"bcsG","","Cellulose biosynthesis protein BcsG","2","2","1","74","26","","","","1679","1679","1679","PHNCKJFH_01872","JLKMCBGM_00223"
"rihB","","Pyrimidine-specific ribonucleoside hydrolase RihB","2","2","1","85","170","","","","941","941","941","PHNCKJFH_03189","JLKMCBGM_00813"
"uvrY","","Response regulator UvrY","2","2","1","87","463","","","","656","656","656","PHNCKJFH_02508","JLKMCBGM_01930"
"pnp","","Polyribonucleotide nucleotidyltransferase","2","2","1","86","129","","","","2135","2135","2135","PHNCKJFH_00105","JLKMCBGM_01352"
"group_4097","","hypothetical protein","2","2","1","84","495","","","","1232","1232","1232","PHNCKJFH_00787","JLKMCBGM_03856"
"pgaA","","Poly-beta-1,6-N-acetyl-D-glucosamine export protein","2","2","1","84","499","","","","2423","2423","2423","PHNCKJFH_02174","JLKMCBGM_03963"
"ubiH","","2-octaprenyl-6-methoxyphenol hydroxylase","2","2","1","86","395","","","","1178","1178","1178","PHNCKJFH_00360","JLKMCBGM_02603"
"codA","","Cytosine deaminase","2","2","1","82","167","","","","1283","1283","1283","PHNCKJFH_03984","JLKMCBGM_00356"
"ulaB","","Ascorbate-specific PTS system EIIB component","2","2","1","83","329","","","","305","305","305","PHNCKJFH_01742","JLKMCBGM_00468"
"gsiD","","Glutathione transport system permease protein GsiD","2","2","1","84","381","","","","911","911","911","PHNCKJFH_00918","JLKMCBGM_03772"
"recC","","RecBCD enzyme subunit RecC","2","2","1","86","619","","","","3368","3368","3368","PHNCKJFH_00457","JLKMCBGM_03409"
"xylB_2","","Xylulose kinase","2","2","1","73","7","","","","1454","1454","1454","PHNCKJFH_01261","JLKMCBGM_03162"
"gspK","","Putative type II secretion system protein K","2","2","1","76","8","","","","983","983","983","PHNCKJFH_03772","JLKMCBGM_02714"
"bioD1_2","","ATP-dependent dethiobiotin synthetase BioD 1","2","2","1","84","327","","","","677","677","677","PHNCKJFH_03544","JLKMCBGM_03718"
"hscA","","Chaperone protein HscA","2","2","1","85","428","","","","1850","1850","1850","PHNCKJFH_02855","JLKMCBGM_02901"
"yrbL","","putative protein YrbL","2","2","1","86","88","","","","632","632","632","PHNCKJFH_00062","JLKMCBGM_01395"
"preA","","NAD-dependent dihydropyrimidine dehydrogenase subunit PreA","2","2","1","85","155","","","","1235","1235","1235","PHNCKJFH_03204","JLKMCBGM_00798"
"wzyE","","putative ECA polymerase","2","2","1","77","76","","","","1352","1352","1352","PHNCKJFH_02738","JLKMCBGM_03084"
"prfB_2","","Peptide chain release factor 2","2","2","1","84","167","","","","500","500","500","PHNCKJFH_01486","JLKMCBGM_00675"
"hypF","","Carbamoyltransferase HypF","2","2","1","86","512","","","","2252","2252","2252","PHNCKJFH_01132","JLKMCBGM_03298"
"yqiJ","","Inner membrane protein YqiJ","2","2","1","86","245","","","","629","629","629","PHNCKJFH_00220","JLKMCBGM_04685"
"proX","","Glycine betaine/proline betaine-binding periplasmic protein","2","2","1","86","485","","","","992","992","992","PHNCKJFH_01165","JLKMCBGM_03265"
"dgoK1","","putative 2-dehydro-3-deoxygalactonokinase DgoK1","2","2","1","80","147","","","","878","878","878","PHNCKJFH_01047","JLKMCBGM_01080"
"puuA","","Gamma-glutamylputrescine synthetase PuuA","2","2","1","87","175","","","","1418","1418","1418","PHNCKJFH_04237","JLKMCBGM_01206"
"ddpF","","putative D,D-dipeptide transport ATP-binding protein DdpF","2","2","1","71","10","","","","926","926","926","PHNCKJFH_03252","JLKMCBGM_00159"
"phnM","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase","2","2","1","83","429","","","","1136","1136","1136","PHNCKJFH_03347","JLKMCBGM_03541"
"agp","","Glucose-1-phosphatase","2","2","1","84","521","","","","1241","1241","1241","PHNCKJFH_02152","JLKMCBGM_03941"
"pepN","","Aminopeptidase N","2","2","1","84","588","","","","2612","2612","2612","PHNCKJFH_00771","JLKMCBGM_03872"
"amn","","AMP nucleosidase","2","2","1","87","399","","","","1454","1454","1454","PHNCKJFH_01203","JLKMCBGM_01994"
"rffG","","dTDP-glucose 4,6-dehydratase 2","2","2","1","77","70","","","","1067","1067","1067","PHNCKJFH_02732","JLKMCBGM_03090"
"group_4123","","hypothetical protein","2","2","1","86","554","","","","1037","1037","1037","PHNCKJFH_01090","JLKMCBGM_03340"
"group_4124","","hypothetical protein","2","2","1","77","17","","","","1427","1427","1427","PHNCKJFH_02776","JLKMCBGM_03046"
"group_4125","","hypothetical protein","2","2","1","80","131","","","","497","497","497","PHNCKJFH_01063","JLKMCBGM_01100"
"yehD","","putative fimbrial-like protein YehD","2","2","1","85","120","","","","542","542","542","PHNCKJFH_03239","JLKMCBGM_00762"
"flgN","","Flagella synthesis protein FlgN","2","2","1","87","900","","","","416","416","416","PHNCKJFH_03643","JLKMCBGM_02064"
"rhaR_1","","HTH-type transcriptional activator RhaR","2","2","1","82","30","","","","761","761","761","PHNCKJFH_04169","JLKMCBGM_00302"
"artJ","","ABC transporter arginine-binding protein 1","2","2","1","84","409","","","","731","731","731","PHNCKJFH_00874","JLKMCBGM_03800"
"lysA","","Diaminopimelate decarboxylase","2","2","1","86","636","","","","1262","1262","1262","PHNCKJFH_00440","JLKMCBGM_03426"
"bioF_1","","8-amino-7-oxononanoate synthase","2","2","1","86","313","","","","1172","1172","1172","PHNCKJFH_00286","JLKMCBGM_04754"
"thrA","","Bifunctional aspartokinase/homoserine dehydrogenase 1","2","2","1","83","66","","","","2462","2462","2462","PHNCKJFH_00546","JLKMCBGM_04501"
"dmsD","","Tat proofreading chaperone DmsD","2","2","1","87","783","","","","614","614","614","PHNCKJFH_01911","JLKMCBGM_01606"
"cysH","","Phosphoadenosine phosphosulfate reductase","2","2","1","86","563","","","","734","734","734","PHNCKJFH_00516","JLKMCBGM_03349"
"mppA","","Periplasmic murein peptide-binding protein","2","2","1","87","141","","","","1613","1613","1613","PHNCKJFH_03498","JLKMCBGM_01172"
"mdoC","","Glucans biosynthesis protein C","2","2","1","87","879","","","","1157","1157","1157","PHNCKJFH_03621","JLKMCBGM_02086"
"dgcM","","Diguanylate cyclase DgcM","2","2","1","87","130","","","","1232","1232","1232","PHNCKJFH_03487","JLKMCBGM_01161"
"group_4138","","hypothetical protein","2","2","1","86","644","","","","632","632","632","PHNCKJFH_00432","JLKMCBGM_03434"
"rhaD","","Rhamnulose-1-phosphate aldolase","2","2","1","78","70","","","","824","824","824","PHNCKJFH_02536","JLKMCBGM_01495"
"group_4140","","hypothetical protein","2","2","1","85","127","","","","317","317","317","PHNCKJFH_03233","JLKMCBGM_00769"
"group_4141","","hypothetical protein","2","2","1","87","685","","","","356","356","356","PHNCKJFH_02055","JLKMCBGM_01707"
"frwD","","PTS system fructose-like EIIB component 3","2","2","1","78","16","","","","341","341","341","PHNCKJFH_03284","JLKMCBGM_01446"
"group_4143","","hypothetical protein","2","2","1","87","897","","","","647","647","647","PHNCKJFH_03640","JLKMCBGM_02067"
"group_4144","","hypothetical protein","2","2","1","79","48","","","","905","905","905","PHNCKJFH_02290","JLKMCBGM_04387"
"yhhX","","putative oxidoreductase YhhX","2","2","1","79","104","","","","1037","1037","1037","PHNCKJFH_02231","JLKMCBGM_04332"
"fliA","","RNA polymerase sigma factor FliA","2","2","1","87","455","","","","719","719","719","PHNCKJFH_02516","JLKMCBGM_01938"
"yecD","","Isochorismatase family protein YecD","2","2","1","87","506","","","","566","566","566","PHNCKJFH_02446","JLKMCBGM_01886"
"flhC","","Flagellar transcriptional regulator FlhC","2","2","1","87","480","","","","578","578","578","PHNCKJFH_02488","JLKMCBGM_01910"
"tatB","","Sec-independent protein translocase protein TatB","2","2","1","77","12","","","","515","515","515","PHNCKJFH_02781","JLKMCBGM_03041"
"potB","","Spermidine/putrescine transport system permease protein PotB","2","2","1","87","325","","","","857","863","860","PHNCKJFH_03697","JLKMCBGM_04084"
"yoaA","","putative ATP-dependent DNA helicase YoaA","2","2","1","87","566","","","","1910","1910","1910","PHNCKJFH_02385","JLKMCBGM_01825"
"tdcG","","L-serine dehydratase TdcG","2","2","1","86","180","","","","1364","1364","1364","PHNCKJFH_00156","JLKMCBGM_04623"
"btuB","","Vitamin B12 transporter BtuB","2","2","1","78","3","","","","1844","1844","1844","PHNCKJFH_03297","JLKMCBGM_01433"
"yvgN","","Glyoxal reductase","2","2","1","87","592","","","","854","854","854","PHNCKJFH_02359","JLKMCBGM_01799"
"ppc","","Phosphoenolpyruvate carboxylase","2","2","1","78","13","","","","2651","2651","2651","PHNCKJFH_03287","JLKMCBGM_01443"
"sad","","Succinate semialdehyde dehydrogenase [NAD(P) ] Sad","2","2","1","87","356","","","","1388","1388","1388","PHNCKJFH_03904","JLKMCBGM_01575"
"cdh","","CDP-diacylglycerol pyrophosphatase","2","2","1","78","55","","","","755","755","755","PHNCKJFH_02552","JLKMCBGM_01480"
"pepB","","Peptidase B","2","2","1","85","431","","","","1283","1283","1283","PHNCKJFH_02858","JLKMCBGM_02898"
"amyA","","Cytoplasmic alpha-amylase","2","2","1","87","450","","","","1487","1487","1487","PHNCKJFH_02521","JLKMCBGM_01943"
"pyrI","","Aspartate carbamoyltransferase regulatory chain","2","2","1","83","271","","","","461","461","461","PHNCKJFH_01795","JLKMCBGM_00518"
"mdtF","","Multidrug resistance protein MdtF","2","2","1","72","5","","","","3113","3113","3113","PHNCKJFH_00980","JLKMCBGM_04783"
"dusA","","tRNA-dihydrouridine(20/20a) synthase","2","2","1","83","481","","","","1037","1037","1037","PHNCKJFH_03397","JLKMCBGM_03597"
"flhE","","Flagellar protein FlhE","2","2","1","87","495","","","","392","392","392","PHNCKJFH_02473","JLKMCBGM_01897"
"group_4164","ydcV_3","Inner membrane ABC transporter permease protein YdcV","2","2","1","87","859","","","","794","794","794","PHNCKJFH_03696","JLKMCBGM_04020"
"ygeA","","L-aspartate/glutamate-specific racemase","2","2","1","86","638","","","","692","692","692","PHNCKJFH_00438","JLKMCBGM_03428"
"tdcE","","PFL-like enzyme TdcE","2","2","1","86","178","","","","2294","2294","2294","PHNCKJFH_00154","JLKMCBGM_04621"
"yhbU","","putative protease YhbU","2","2","1","86","135","","","","995","995","995","PHNCKJFH_00111","JLKMCBGM_01346"
"eptA","","Phosphoethanolamine transferase EptA","2","2","1","83","410","","","","1643","1643","1643","PHNCKJFH_03328","JLKMCBGM_03521"
"ynjC","","Inner membrane ABC transporter permease protein YnjC","2","2","1","87","620","","","","1535","1535","1535","PHNCKJFH_02121","JLKMCBGM_01773"
"yhfS","","putative protein YhfS","2","2","1","79","41","","","","1085","1085","1085","PHNCKJFH_02297","JLKMCBGM_04394"
"yraI","","putative fimbrial chaperone YraI","2","2","1","86","150","","","","695","695","695","PHNCKJFH_00126","JLKMCBGM_01331"
"araB_2","","Ribulokinase","2","2","1","81","144","","","","1700","1700","1700","PHNCKJFH_01317","JLKMCBGM_02239"
"kdgR","","Transcriptional regulator KdgR","2","2","1","87","547","","","","791","791","791","PHNCKJFH_02403","JLKMCBGM_01844"
"ygiW_1","","Protein YgiW","2","2","1","87","367","","","","392","392","392","PHNCKJFH_03892","JLKMCBGM_01587"
"mdtL","","Multidrug resistance protein MdtL","2","2","1","80","162","","","","1175","1175","1175","PHNCKJFH_01032","JLKMCBGM_01065"
"narG","","Respiratory nitrate reductase 1 alpha chain","2","2","1","87","249","","","","3743","3743","3743","PHNCKJFH_04344","JLKMCBGM_00047"
"gshA","","Glutamate--cysteine ligase","2","2","1","86","493","","","","1556","1556","1556","PHNCKJFH_01157","JLKMCBGM_03273"
"ydeP","","Protein YdeP","2","2","1","87","333","","","","2279","2279","2279","PHNCKJFH_03926","JLKMCBGM_03497"
"ftsI","","Peptidoglycan D,D-transpeptidase FtsI","2","2","1","81","124","","","","1766","1766","1766","PHNCKJFH_01337","JLKMCBGM_02219"
"group_4180","","hypothetical protein","2","2","1","81","102","","","","440","440","440","PHNCKJFH_01359","JLKMCBGM_02197"
"yejF","","putative ABC transporter ATP-binding protein YejF","2","2","1","85","189","","","","1589","1589","1589","PHNCKJFH_03170","JLKMCBGM_00832"
"rlmL","","Ribosomal RNA large subunit methyltransferase K/L","2","2","1","84","572","","","","2108","2108","2108","PHNCKJFH_00756","JLKMCBGM_03888"
"kup","","Low affinity potassium transport system protein kup","2","2","1","80","9","","","","1868","1868","1868","PHNCKJFH_00994","JLKMCBGM_01024"
"gltK","","Glutamate/aspartate import permease protein GltK","2","2","1","84","94","","","","674","674","674","PHNCKJFH_01588","JLKMCBGM_04133"
"dsdA","","D-serine dehydratase","2","2","1","85","604","","","","1328","1328","1328","PHNCKJFH_03011","JLKMCBGM_01007"
"argS","","Arginine--tRNA ligase","2","2","1","87","497","","","","1733","1733","1733","PHNCKJFH_02471","JLKMCBGM_01895"
"glpT","","Glycerol-3-phosphate transporter","2","2","1","85","240","","","","1358","1358","1358","PHNCKJFH_03119","JLKMCBGM_00890"
"cpoB","","Cell division coordinator CpoB","2","2","1","84","298","","","","791","791","791","PHNCKJFH_03580","JLKMCBGM_03682"
"yqjG","","Glutathionyl-hydroquinone reductase YqjG","2","2","1","86","190","","","","986","986","986","PHNCKJFH_00164","JLKMCBGM_04633"
"ndhB_1","","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic","2","2","1","86","523","","","","1826","1826","1826","PHNCKJFH_01121","JLKMCBGM_03309"
"kdpC","","Potassium-transporting ATPase KdpC subunit","2","2","1","84","125","","","","572","572","572","PHNCKJFH_01549","JLKMCBGM_04092"
"znuA","","High-affinity zinc uptake system protein ZnuA","2","2","1","87","516","","","","986","986","986","PHNCKJFH_02436","JLKMCBGM_01876"
"aroP","","Aromatic amino acid transport protein AroP","2","2","1","81","98","","","","1370","1370","1370","PHNCKJFH_01363","JLKMCBGM_02193"
"tdk","","Thymidine kinase","2","2","1","87","239","","","","617","617","617","PHNCKJFH_04332","JLKMCBGM_00059"
"ftsK","","DNA translocase FtsK","2","2","1","84","439","","","","3989","3989","3989","PHNCKJFH_00843","JLKMCBGM_03830"
"frlA","","putative fructoselysine/psicoselysine transporter FrlA","2","2","1","79","36","","","","1337","1337","1337","PHNCKJFH_02302","JLKMCBGM_04399"
"group_4197","","ISNCY family transposase ISVsa17","2","2","1","79","76","","","","878","878","878","PHNCKJFH_02262","JLKMCBGM_04359"
"modA","","Molybdate-binding protein ModA","2","2","1","84","312","","","","773","773","773","PHNCKJFH_03559","JLKMCBGM_03703"
"msmX","","Oligosaccharides import ATP-binding protein MsmX","2","2","1","87","154","","","","1082","1082","1082","PHNCKJFH_04215","JLKMCBGM_01184"
"aglB","","6-phospho-alpha-glucosidase","2","2","1","80","135","","","","638","1322","980","PHNCKJFH_01059","JLKMCBGM_01092"
"ileS","","Isoleucine--tRNA ligase","2","2","1","81","167","","","","2816","2816","2816","PHNCKJFH_01456","JLKMCBGM_02276"
"hcaD","","3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD( ) reductase component","2","2","1","85","412","","","","1202","1202","1202","PHNCKJFH_02839","JLKMCBGM_02917"
"group_4202","","Beta-xylosidase","2","2","1","85","141","","","","2267","2267","2267","PHNCKJFH_03218","JLKMCBGM_00784"
"gluQ","","Glutamyl-Q tRNA(Asp) synthetase","2","2","1","81","66","","","","926","926","926","PHNCKJFH_01395","JLKMCBGM_02161"
"group_4204","","hypothetical protein","2","2","1","84","426","","","","1658","1658","1658","PHNCKJFH_00857","JLKMCBGM_03816"
"dnaK_2","","Chaperone protein DnaK","2","2","1","83","55","","","","1916","1931","1923","PHNCKJFH_00535","JLKMCBGM_04490"
"chuR_2","","Anaerobic sulfatase-maturating enzyme","2","2","1","87","329","","","","1157","1157","1157","PHNCKJFH_03930","JLKMCBGM_03493"
"group_4207","mshA_2","D-inositol-3-phosphate glycosyltransferase","2","2","1","75","33","","","","1115","1115","1115","PHNCKJFH_02673","JLKMCBGM_00617"
"fucK","","L-fuculokinase","2","2","1","86","603","","","","1418","1418","1418","PHNCKJFH_00476","JLKMCBGM_03390"
"umuD","","Protein UmuD","2","2","1","87","292","","","","419","419","419","PHNCKJFH_03730","JLKMCBGM_00001"
"srlE","","PTS system glucitol/sorbitol-specific EIIB component","2","2","1","86","503","","","","959","959","959","PHNCKJFH_01141","JLKMCBGM_03289"
"garP","","putative galactarate transporter","2","2","1","86","168","","","","1334","1334","1334","PHNCKJFH_00144","JLKMCBGM_04611"
"dgcT","","putative diguanylate cyclase DgcT","2","2","1","84","498","","","","1358","1358","1358","PHNCKJFH_02175","JLKMCBGM_03964"
"mukE","","Chromosome partition protein MukE","2","2","1","84","597","","","","704","704","704","PHNCKJFH_00780","JLKMCBGM_03863"
"mreC","","Cell shape-determining protein MreC","2","2","1","86","45","","","","1103","1103","1103","PHNCKJFH_00025","JLKMCBGM_02499"
"group_4215","","putative protein","2","2","1","85","508","","","","863","863","863","PHNCKJFH_02910","JLKMCBGM_02796"
"cobB","","NAD-dependent protein deacylase","2","2","1","87","949","","","","839","839","839","PHNCKJFH_03692","JLKMCBGM_04016"
"mlc_2","","Protein mlc","2","2","1","85","404","","","","1193","1193","1193","PHNCKJFH_02831","JLKMCBGM_02925"
"btuC","","Vitamin B12 import system permease protein BtuC","2","2","1","87","663","","","","980","980","980","PHNCKJFH_02077","JLKMCBGM_01729"
"rcsC","","Sensor histidine kinase RcsC","2","2","1","85","226","","","","2849","2849","2849","PHNCKJFH_03133","JLKMCBGM_00869"
"uspE","","Universal stress protein E","2","2","1","87","138","","","","950","950","950","PHNCKJFH_03495","JLKMCBGM_01169"
"kdsB","","3-deoxy-manno-octulosonate cytidylyltransferase","2","2","1","84","602","","","","746","746","746","PHNCKJFH_00785","JLKMCBGM_03858"
"group_4222","","hypothetical protein","2","2","1","86","691","","","","770","770","770","PHNCKJFH_00390","JLKMCBGM_02634"
"priA","","Primosomal protein N'","2","2","1","78","38","","","","2198","2198","2198","PHNCKJFH_02569","JLKMCBGM_01463"
"fecC","","Fe(3 ) dicitrate transport system permease protein FecC","2","2","1","83","165","","","","998","998","998","PHNCKJFH_01821","JLKMCBGM_02012"
"pepT","","Peptidase T","2","2","1","87","323","","","","1226","1226","1226","PHNCKJFH_03699","JLKMCBGM_04082"
"rcnB","","Nickel/cobalt homeostasis protein RcnB","2","2","1","85","116","","","","338","338","338","PHNCKJFH_00702","JLKMCBGM_00758"
"chaA","","Sodium-potassium/proton antiporter ChaA","2","2","1","87","258","","","","1100","1100","1100","PHNCKJFH_04353","JLKMCBGM_00038"
"gspG","","Putative type II secretion system protein G","2","2","1","76","12","","","","437","437","437","PHNCKJFH_03776","JLKMCBGM_02710"
"prr","","Gamma-aminobutyraldehyde dehydrogenase","2","2","1","87","59","","","","1424","1424","1424","PHNCKJFH_01284","JLKMCBGM_04246"
"group_4230","","hypothetical protein","2","2","1","82","46","","","","815","815","815","PHNCKJFH_04152","JLKMCBGM_00285"
"hsrA","","putative transport protein HsrA","2","2","1","80","2","","","","1427","1427","1427","PHNCKJFH_00987","JLKMCBGM_01017"
"uvrD","","DNA helicase II","2","2","1","77","35","","","","2162","2162","2162","PHNCKJFH_02758","JLKMCBGM_03064"
"ldhA","","D-lactate dehydrogenase","2","2","1","87","120","","","","989","989","989","PHNCKJFH_03477","JLKMCBGM_01151"
"group_4234","fdoG_2","Formate dehydrogenase-O major subunit","2","2","1","78","79","","","","2414","2414","2414","PHNCKJFH_04206","JLKMCBGM_01504"
"ysdC","","Putative aminopeptidase YsdC","2","2","1","78","74","","","","1070","1070","1070","PHNCKJFH_04211","JLKMCBGM_01499"
"manP_2","","PTS system mannose-specific EIIBCA component","2","2","1","78","73","","","","1451","1451","1451","PHNCKJFH_04212","JLKMCBGM_01498"
"group_4237","","hypothetical protein","2","2","1","85","227","","","","776","776","776","PHNCKJFH_03132","JLKMCBGM_00876"
"fdhE","","Protein FdhE","2","2","1","78","82","","","","929","929","929","PHNCKJFH_04203","JLKMCBGM_01507"
"sfmC","","putative fimbrial chaperone SfmC","2","2","1","82","35","","","","692","692","692","PHNCKJFH_04163","JLKMCBGM_00296"
"group_4240","","hypothetical protein","2","2","1","73","35","","","","974","974","974","PHNCKJFH_01237","JLKMCBGM_03183"
"group_4241","","hypothetical protein","2","2","1","77","34","","","","764","764","764","PHNCKJFH_02759","JLKMCBGM_03063"
"mcbR","","HTH-type transcriptional regulator McbR","2","2","1","87","53","","","","665","665","665","PHNCKJFH_01278","JLKMCBGM_04252"
"yfeO","","Putative ion-transport protein YfeO","2","2","1","85","579","","","","1256","1256","1256","PHNCKJFH_02988","JLKMCBGM_03469"
"group_4244","","hypothetical protein","2","2","1","86","650","","","","446","446","446","PHNCKJFH_00425","JLKMCBGM_03440"
"alsK","","D-allose kinase","2","2","1","83","440","","","","929","929","929","PHNCKJFH_03358","JLKMCBGM_03552"
"group_4246","","ISAs1 family transposase ISEc1","2","2","1","84","260","","","","1043","1043","1043","PHNCKJFH_01542","JLKMCBGM_03644"
"setC","","Sugar efflux transporter C","2","2","1","80","116","","","","1184","1184","1184","PHNCKJFH_00678","JLKMCBGM_04273"
"yceM","","Putative oxidoreductase YceM","2","2","1","87","898","","","","923","923","923","PHNCKJFH_03641","JLKMCBGM_02066"
"ddlB","","D-alanine--D-alanine ligase B","2","2","1","81","116","","","","920","920","920","PHNCKJFH_01345","JLKMCBGM_02211"
"erfK","","putative L,D-transpeptidase ErfK/SrfK","2","2","1","75","19","","","","935","935","935","PHNCKJFH_02700","JLKMCBGM_00577"
"acrF","","Multidrug export protein AcrF","2","2","1","86","30","","","","3104","3104","3104","PHNCKJFH_00010","JLKMCBGM_00201"
"sbp","","Sulfate-binding protein","2","2","1","78","56","","","","989","989","989","PHNCKJFH_02551","JLKMCBGM_01481"
"melB","","Melibiose carrier protein","2","2","1","83","404","","","","1409","1409","1409","PHNCKJFH_01665","JLKMCBGM_03515"
"napA","","Periplasmic nitrate reductase","2","2","1","85","212","","","","2486","2486","2486","PHNCKJFH_03146","JLKMCBGM_00856"
"paaG","","1,2-epoxyphenylacetyl-CoA isomerase","2","2","1","87","106","","","","788","788","788","PHNCKJFH_03463","JLKMCBGM_01137"
"group_4256","","hypothetical protein","2","2","1","72","14","","","","1223","1223","1223","PHNCKJFH_00970","JLKMCBGM_04792"
"group_4257","","hypothetical protein","2","2","1","84","601","","","","893","893","893","PHNCKJFH_00784","JLKMCBGM_03859"
"cysI","","Sulfite reductase [NADPH] hemoprotein beta-component","2","2","1","86","564","","","","1712","1712","1712","PHNCKJFH_00515","JLKMCBGM_03350"
"acs_1","","Acetyl-coenzyme A synthetase","2","2","1","82","165","","","","1886","1886","1886","PHNCKJFH_03982","JLKMCBGM_00354"
"aes","","Acetyl esterase","2","2","1","82","84","","","","959","959","959","PHNCKJFH_04114","JLKMCBGM_02390"
"hprS","","Sensor histidine kinase HprS","2","2","1","87","412","","","","1358","1358","1358","PHNCKJFH_01217","JLKMCBGM_01979"
"tag","","DNA-3-methyladenine glycosylase 1","2","2","1","74","16","","","","563","563","563","PHNCKJFH_01860","JLKMCBGM_00211"
"purL","","Phosphoribosylformylglycinamidine synthase","2","2","1","85","397","","","","3887","3887","3887","PHNCKJFH_02824","JLKMCBGM_02932"
"mutS","","DNA mismatch repair protein MutS","2","2","1","86","534","","","","2561","2561","2561","PHNCKJFH_01110","JLKMCBGM_03320"
"proQ","","RNA chaperone ProQ","2","2","1","87","543","","","","698","698","698","PHNCKJFH_02407","JLKMCBGM_01848"
"fucI","","L-fucose isomerase","2","2","1","86","602","","","","1775","1775","1775","PHNCKJFH_00477","JLKMCBGM_03389"
"tauA","","Taurine-binding periplasmic protein","2","2","1","82","191","","","","962","962","962","PHNCKJFH_04008","JLKMCBGM_02284"
"yohC","","Inner membrane protein YohC","2","2","1","85","144","","","","587","587","587","PHNCKJFH_03215","JLKMCBGM_00787"
"mdoD","","Glucans biosynthesis protein D","2","2","1","87","79","","","","1619","1619","1619","PHNCKJFH_01198","JLKMCBGM_04226"
"mdtO","","Multidrug resistance protein MdtO","2","2","1","83","444","","","","2051","2051","2051","PHNCKJFH_03362","JLKMCBGM_03556"
"thiB","","Thiamine-binding periplasmic protein","2","2","1","81","139","","","","983","983","983","PHNCKJFH_01322","JLKMCBGM_02234"
"soxR","","Redox-sensitive transcriptional activator SoxR","2","2","1","83","463","","","","464","464","464","PHNCKJFH_03381","JLKMCBGM_03575"
"treA","","Periplasmic trehalase","2","2","1","87","278","","","","1697","1697","1697","PHNCKJFH_03744","JLKMCBGM_00015"
"gdhA","","NADP-specific glutamate dehydrogenase","2","2","1","87","614","","","","1343","1343","1343","PHNCKJFH_02127","JLKMCBGM_01779"
"group_4275","","hypothetical protein","2","2","1","82","153","","","","1418","1418","1418","PHNCKJFH_03969","JLKMCBGM_00340"
"mnmC","","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC","2","2","1","85","327","","","","2006","2006","2006","PHNCKJFH_03037","JLKMCBGM_00978"
"sgrR_2","","HTH-type transcriptional regulator SgrR","2","2","1","82","265","","","","1700","1700","1700","PHNCKJFH_04084","JLKMCBGM_02360"
"group_4278","","hypothetical protein","2","2","1","87","219","","","","743","743","743","PHNCKJFH_04281","JLKMCBGM_00080"
